"automated_textmining","BEND_MAP_ID","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.143","330","0.0","0.198","0.0","31.99999999999999","0.103","0","0.0","interacts with","LRP5L (interacts with) WNT7B","0","9606.ENSP00000482378","9606.ENSP00000341032","0.0","false","interacts with","LRP5L (interacts with) WNT7B"
"0.173","332","0.0","0.219","0.0","31.99999999999999","0.095","0","0.0","interacts with","LRP5L (interacts with) WNT8B","0","9606.ENSP00000482378","9606.ENSP00000340677","0.0","false","interacts with","LRP5L (interacts with) WNT8B"
"0.164","334","0.0","0.211","0.0","39.777777777777764","0.095","0","0.0","interacts with","LRP5L (interacts with) WNT11","0","9606.ENSP00000482378","9606.ENSP00000325526","0.0","false","interacts with","LRP5L (interacts with) WNT11"
"0.333","336","0.0","0.367","0.0","39.777777777777764","0.091","0","0.0","interacts with","LRP5L (interacts with) WNT10B","0","9606.ENSP00000482378","9606.ENSP00000301061","0.0","false","interacts with","LRP5L (interacts with) WNT10B"
"0.143","338","0.0","0.198","0.0","31.99999999999999","0.103","0","0.0","interacts with","LRP5L (interacts with) WNT7A","0","9606.ENSP00000482378","9606.ENSP00000285018","0.0","false","interacts with","LRP5L (interacts with) WNT7A"
"0.349","340","0.0","0.385","0.0","35.11111111111109","0.095","0","0.0","interacts with","LRP5L (interacts with) WNT2","0","9606.ENSP00000482378","9606.ENSP00000265441","0.0","false","interacts with","LRP5L (interacts with) WNT2"
"0.286","342","0.0","0.361","0.0","184.44444444444446","0.126","0","0.963","interacts with","LRP5L (interacts with) LRP6","0","9606.ENSP00000482378","9606.ENSP00000261349","0.058","false","interacts with","LRP5L (interacts with) LRP6"
"0.105","344","0.045","0.158","0.0","31.99999999999999","0.095","0","0.0","interacts with","LRP5L (interacts with) WNT6","0","9606.ENSP00000482378","9606.ENSP00000233948","0.0","false","interacts with","LRP5L (interacts with) WNT6"
"0.182","346","0.0","0.228","0.0","35.11111111111109","0.095","0","0.0","interacts with","LRP5L (interacts with) WNT3","0","9606.ENSP00000482378","9606.ENSP00000225512","0.0","false","interacts with","LRP5L (interacts with) WNT3"
"0.145","348","0.0","0.92","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT5B","0","9606.ENSP00000377836","9606.ENSP00000380379","0.0","false","interacts with","GPC3 (interacts with) WNT5B"
